Target: GroundStatSat

Observer: BroncoSpace
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Jul 2024 12:50:54.832    02 Jul 2024 12:55:18.785      263.95275446    
03 Jul 2024 01:55:34.200    03 Jul 2024 01:59:11.884      217.68481334    
03 Jul 2024 12:34:53.821    03 Jul 2024 12:39:53.019      299.19783839    
04 Jul 2024 01:39:26.559    04 Jul 2024 01:44:03.720      277.16152032    
04 Jul 2024 12:19:08.141    04 Jul 2024 12:24:13.088      304.94698525    
05 Jul 2024 01:23:32.707    05 Jul 2024 01:28:34.927      302.21965896    
05 Jul 2024 12:03:36.362    05 Jul 2024 12:08:20.461      284.09893869    
06 Jul 2024 01:07:48.921    06 Jul 2024 01:12:49.273      300.35169107    
06 Jul 2024 11:48:21.434    06 Jul 2024 11:52:12.260      230.82567856    
07 Jul 2024 00:52:16.183    07 Jul 2024 00:56:45.783      269.60024822    
07 Jul 2024 11:33:42.801    07 Jul 2024 11:35:29.143      106.34219062    
07 Jul 2024 13:06:57.281    07 Jul 2024 13:09:59.472      182.19018371    
08 Jul 2024 00:37:02.065    08 Jul 2024 00:40:16.861      194.79580459    
08 Jul 2024 02:12:01.482    08 Jul 2024 02:12:59.207      57.724793139    
08 Jul 2024 12:50:23.358    08 Jul 2024 12:54:48.489      265.13104532    
09 Jul 2024 01:54:58.894    09 Jul 2024 01:58:35.934      217.03939087    
09 Jul 2024 12:34:14.066    09 Jul 2024 12:39:14.125      300.05868163    
10 Jul 2024 01:38:42.756    10 Jul 2024 01:43:19.243      276.48739780    
10 Jul 2024 12:18:20.329    10 Jul 2024 12:23:25.457      305.12798061    
11 Jul 2024 01:22:40.634    11 Jul 2024 01:27:41.638      301.00488514    
11 Jul 2024 12:02:40.786    11 Jul 2024 12:07:23.879      283.09279127    
12 Jul 2024 01:06:48.816    12 Jul 2024 01:11:46.869      298.05332639    
12 Jul 2024 11:47:18.679    12 Jul 2024 11:51:06.221      227.54187647    
13 Jul 2024 00:51:08.490    13 Jul 2024 00:55:33.754      265.26369019    
13 Jul 2024 11:32:36.822    13 Jul 2024 11:34:09.769      92.947225808    
13 Jul 2024 13:05:39.818    13 Jul 2024 13:08:49.092      189.27371122    
14 Jul 2024 00:35:48.277    14 Jul 2024 00:38:53.637      185.35985257    
14 Jul 2024 02:10:34.800    14 Jul 2024 02:11:49.336      74.535902543    
14 Jul 2024 12:48:59.345    14 Jul 2024 12:53:27.929      268.58372788    
15 Jul 2024 01:53:30.186    15 Jul 2024 01:57:10.904      220.71721712    
15 Jul 2024 12:32:42.795    15 Jul 2024 12:37:44.152      301.35743553    
16 Jul 2024 01:37:06.617    16 Jul 2024 01:41:44.382      277.76515723    
16 Jul 2024 12:16:41.837    16 Jul 2024 12:21:46.090      304.25272541    
17 Jul 2024 01:20:56.875    17 Jul 2024 01:25:57.051      300.17609575    
17 Jul 2024 12:00:55.426    17 Jul 2024 12:05:34.820      279.39464824    
18 Jul 2024 01:04:57.637    18 Jul 2024 01:09:52.267      294.63003727    
18 Jul 2024 11:45:27.514    18 Jul 2024 11:49:06.461      218.94749100    
19 Jul 2024 00:49:10.569    19 Jul 2024 00:53:28.362      257.79285306    
19 Jul 2024 11:30:52.869    19 Jul 2024 11:31:46.343      53.474006499    
19 Jul 2024 13:03:28.257    19 Jul 2024 13:06:49.473      201.21631989    
20 Jul 2024 00:33:46.525    20 Jul 2024 00:36:34.438      167.91281195    
20 Jul 2024 02:08:11.510    20 Jul 2024 02:09:53.453      101.94250429    
20 Jul 2024 12:46:42.791    20 Jul 2024 12:51:16.644      273.85286861    
